date,symbol,side,order_place_time,order_type,order_price,fill_time,entry_price,ref_low_24h,ref_high_24h,ref_mid_24h,stop,take_profit,exit_time,exit_price,exit_reason,pnl,equity_after
2025-04-07,XAUUSD,LONG,2025-04-07 04:30:00+01:00,LIMIT,3012.7425,2025-04-07 14:35:00+01:00,3012.7425,2970.305,3055.18,3012.7425,2970.305,3140.055,2025-04-07 16:00:00+01:00,3000.135,FORCE_EXIT,-12.607499999999618,69.28100000000268
2025-04-08,XAUUSD,LONG,2025-04-08 04:30:00+01:00,MARKET,2995.015,2025-04-08 04:30:00+01:00,2995.015,2956.125,3045.965,3001.045,2956.125,3111.6849999999995,2025-04-08 16:00:00+01:00,3005.705,FORCE_EXIT,10.690000000000055,79.97100000000273
2025-04-09,XAUUSD,SHORT,2025-04-09 04:30:00+01:00,MARKET,3008.065,2025-04-09 04:30:00+01:00,3008.065,2969.605,3022.485,2996.045,3022.485,2964.805,2025-04-09 07:05:00+01:00,3022.485,STOP,-14.420000000000073,65.55100000000266
2025-04-10,XAUUSD,SHORT,2025-04-10 04:30:00+01:00,MARKET,3123.555,2025-04-10 04:30:00+01:00,3123.555,2998.695,3131.615,3065.1549999999997,3131.615,3099.375,2025-04-10 06:05:00+01:00,3131.615,STOP,-8.059999999999945,57.491000000002714
2025-04-14,XAUUSD,SHORT,2025-04-14 04:30:00+01:00,MARKET,3232.475,2025-04-14 04:30:00+01:00,3232.475,3209.205,3245.515,3227.3599999999997,3245.515,3193.355,2025-04-14 14:15:00+01:00,3193.355,TP,39.11999999999989,96.6110000000026
2025-04-15,XAUUSD,LONG,2025-04-15 04:30:00+01:00,LIMIT,3215.525,2025-04-15 13:25:00+01:00,3215.525,3193.315,3237.735,3215.525,3193.315,3282.155,2025-04-15 16:00:00+01:00,3218.575,FORCE_EXIT,3.049999999999727,99.66100000000233
2025-04-16,XAUUSD,SHORT,2025-04-16 04:30:00+01:00,MARKET,3275.735,2025-04-16 04:30:00+01:00,3275.735,3211.385,3276.345,3243.865,3276.345,3273.905000000001,2025-04-16 04:30:00+01:00,3276.345,STOP,-0.6099999999996726,99.05100000000266
2025-04-17,XAUUSD,LONG,2025-04-17 04:30:00+01:00,LIMIT,3313.175,2025-04-17 09:35:00+01:00,3313.175,3268.895,3357.455,3313.175,3268.895,3446.015000000001,2025-04-17 16:00:00+01:00,3295.635,FORCE_EXIT,-17.539999999999964,81.5110000000027
2025-04-22,XAUUSD,LONG,2025-04-22 04:30:00+01:00,LIMIT,3428.91,2025-04-22 13:50:00+01:00,3428.91,3368.845,3488.975,3428.91,3368.845,3609.105,2025-04-22 16:00:00+01:00,3428.445,FORCE_EXIT,-0.46499999999969077,81.046000000003
2025-04-24,XAUUSD,LONG,2025-04-24 04:30:00+01:00,LIMIT,3313.25,2025-04-24 14:50:00+01:00,3313.25,3259.485,3367.015,3313.25,3259.485,3474.5449999999996,2025-04-24 16:00:00+01:00,3322.305,FORCE_EXIT,9.054999999999836,90.10100000000284
2025-04-25,XAUUSD,SHORT,2025-04-25 04:30:00+01:00,MARKET,3348.545,2025-04-25 04:30:00+01:00,3348.545,3306.245,3370.065,3338.1549999999997,3370.065,3283.985,2025-04-25 14:00:00+01:00,3283.985,TP,64.55999999999995,154.6610000000028
2025-04-28,XAUUSD,SHORT,2025-04-28 04:30:00+01:00,LIMIT,3301.88,2025-04-28 13:25:00+01:00,3301.88,3267.765,3335.995,3301.88,3335.995,3199.5350000000008,2025-04-28 16:00:00+01:00,3323.945,FORCE_EXIT,-22.065000000000055,132.59600000000273
2025-04-29,XAUUSD,LONG,2025-04-29 04:30:00+01:00,MARKET,3312.355,2025-04-29 04:30:00+01:00,3312.355,3273.065,3352.835,3312.95,3273.065,3430.225,2025-04-29 16:00:00+01:00,3313.505,FORCE_EXIT,1.150000000000091,133.74600000000282
2025-04-30,XAUUSD,LONG,2025-04-30 04:30:00+01:00,MARKET,3308.575,2025-04-30 04:30:00+01:00,3308.575,3299.325,3329.725,3314.5249999999996,3299.325,3336.325,2025-04-30 09:10:00+01:00,3299.325,STOP,-9.25,124.49600000000282
2025-05-05,XAUUSD,LONG,2025-05-05 04:30:00+01:00,LIMIT,3254.475,2025-05-05 04:40:00+01:00,3254.475,3236.745,3272.205,3254.475,3236.745,3307.665,2025-05-05 10:55:00+01:00,3307.665,TP,53.190000000000055,177.68600000000288
2025-05-07,XAUUSD,LONG,2025-05-07 04:30:00+01:00,MARKET,3374.185,2025-05-07 04:30:00+01:00,3374.185,3349.745,3437.655,3393.7,3349.745,3447.505,2025-05-07 16:00:00+01:00,3385.865,FORCE_EXIT,11.679999999999836,189.3660000000027
2025-05-08,XAUUSD,SHORT,2025-05-08 04:30:00+01:00,MARKET,3398.385,2025-05-08 04:30:00+01:00,3398.385,3363.035,3414.705,3388.87,3414.705,3349.425000000001,2025-05-08 07:10:00+01:00,3349.425000000001,TP,48.95999999999913,238.32600000000184
2025-05-09,XAUUSD,SHORT,2025-05-09 04:30:00+01:00,LIMIT,3337.74,2025-05-09 12:25:00+01:00,3337.74,3274.295,3401.185,3337.74,3401.185,3147.4049999999993,2025-05-09 16:00:00+01:00,3338.695,FORCE_EXIT,-0.955000000000382,237.37100000000146
2025-05-12,XAUUSD,LONG,2025-05-12 04:30:00+01:00,MARKET,3280.975,2025-05-12 04:30:00+01:00,3280.975,3258.535,3327.205,3292.87,3258.535,3348.295,2025-05-12 08:00:00+01:00,3258.535,STOP,-22.440000000000055,214.9310000000014
2025-05-13,XAUUSD,LONG,2025-05-13 04:30:00+01:00,MARKET,3234.145,2025-05-13 04:30:00+01:00,3234.145,3207.495,3284.505,3246.0,3207.495,3314.0950000000003,2025-05-13 16:00:00+01:00,3245.165,FORCE_EXIT,11.019999999999982,225.9510000000014
2025-05-14,XAUUSD,LONG,2025-05-14 04:30:00+01:00,MARKET,3228.975,2025-05-14 04:30:00+01:00,3228.975,3225.145,3265.405,3245.275,3225.145,3240.4649999999997,2025-05-14 05:05:00+01:00,3225.145,STOP,-3.8299999999999272,222.12100000000146
2025-05-15,XAUUSD,SHORT,2025-05-15 04:30:00+01:00,LIMIT,3195.615,2025-05-15 14:15:00+01:00,3195.615,3147.735,3243.495,3195.615,3243.495,3051.9749999999995,2025-05-15 16:00:00+01:00,3206.155,FORCE_EXIT,-10.540000000000418,211.58100000000104
2025-05-16,XAUUSD,SHORT,2025-05-16 04:30:00+01:00,MARKET,3210.225,2025-05-16 04:30:00+01:00,3210.225,3120.205,3251.805,3186.005,3251.805,3085.485,2025-05-16 16:00:00+01:00,3175.005,FORCE_EXIT,35.2199999999998,246.80100000000084
2025-05-19,XAUUSD,SHORT,2025-05-19 04:30:00+01:00,MARKET,3225.355,2025-05-19 04:30:00+01:00,3225.355,3200.105,3249.505,3224.8050000000003,3249.505,3152.9049999999997,2025-05-19 16:00:00+01:00,3232.615,FORCE_EXIT,-7.2599999999997635,239.54100000000108
2025-05-20,XAUUSD,SHORT,2025-05-20 04:30:00+01:00,LIMIT,3226.245,2025-05-20 09:35:00+01:00,3226.245,3204.205,3248.285,3226.245,3248.285,3160.125,2025-05-20 13:35:00+01:00,3248.285,STOP,-22.039999999999964,217.5010000000011
2025-05-22,XAUUSD,SHORT,2025-05-22 04:30:00+01:00,MARKET,3339.898,2025-05-22 04:30:00+01:00,3339.898,3290.668,3345.198,3317.933,3345.198,3323.998000000001,2025-05-22 08:05:00+01:00,3323.998000000001,TP,15.899999999999181,233.4010000000003
2025-05-23,XAUUSD,SHORT,2025-05-23 04:30:00+01:00,LIMIT,3309.637,2025-05-23 05:15:00+01:00,3309.637,3278.789,3340.485,3309.637,3340.485,3217.0930000000003,2025-05-23 12:45:00+01:00,3340.485,STOP,-30.847999999999956,202.55300000000034
2025-05-26,XAUUSD,SHORT,2025-05-26 04:30:00+01:00,LIMIT,3345.558,2025-05-26 04:30:00+01:00,3345.558,3331.198,3359.918,3345.558,3359.918,3302.4779999999996,2025-05-26 16:00:00+01:00,3338.398,FORCE_EXIT,7.1599999999998545,209.7130000000002
2025-05-27,XAUUSD,LONG,2025-05-27 04:30:00+01:00,LIMIT,3337.423,2025-05-27 05:30:00+01:00,3337.423,3323.298,3351.548,3337.423,3323.298,3379.798,2025-05-27 06:45:00+01:00,3323.298,STOP,-14.125,195.5880000000002
2025-05-28,XAUUSD,SHORT,2025-05-28 04:30:00+01:00,LIMIT,3315.592,2025-05-28 08:40:00+01:00,3315.592,3284.159,3347.025,3315.592,3347.025,3221.293,2025-05-28 16:00:00+01:00,3297.615,FORCE_EXIT,17.977000000000317,213.5650000000005
2025-05-29,XAUUSD,LONG,2025-05-29 04:30:00+01:00,MARKET,3273.935,2025-05-29 04:30:00+01:00,3273.935,3245.198,3325.318,3285.258,3245.198,3360.146,2025-05-29 16:00:00+01:00,3314.415,FORCE_EXIT,40.48000000000002,254.04500000000053
2025-05-30,XAUUSD,LONG,2025-05-30 04:30:00+01:00,MARKET,3296.495,2025-05-30 04:30:00+01:00,3296.495,3265.848,3330.775,3298.3115,3265.848,3388.4359999999997,2025-05-30 16:00:00+01:00,3279.698,FORCE_EXIT,-16.797000000000025,237.2480000000005
2025-06-03,XAUUSD,SHORT,2025-06-03 04:30:00+01:00,MARKET,3364.698,2025-06-03 04:30:00+01:00,3364.698,3302.955,3391.935,3347.4449999999997,3391.935,3282.9869999999996,2025-06-03 16:00:00+01:00,3344.448,FORCE_EXIT,20.25,257.4980000000005
2025-06-04,XAUUSD,SHORT,2025-06-04 04:30:00+01:00,MARKET,3365.555,2025-06-04 04:30:00+01:00,3365.555,3332.575,3372.445,3352.51,3372.445,3344.884999999999,2025-06-04 12:25:00+01:00,3344.884999999999,TP,20.670000000000982,278.1680000000015
2025-06-05,XAUUSD,LONG,2025-06-05 04:30:00+01:00,LIMIT,3363.9714999999997,2025-06-05 05:15:00+01:00,3363.9714999999997,3343.448,3384.495,3363.9714999999997,3343.448,3425.541999999999,2025-06-05 16:00:00+01:00,3368.715,FORCE_EXIT,4.743500000000495,282.911500000002
2025-06-06,XAUUSD,SHORT,2025-06-06 04:30:00+01:00,LIMIT,3371.113,2025-06-06 04:55:00+01:00,3371.113,3339.048,3403.178,3371.113,3403.178,3274.9179999999997,2025-06-06 16:00:00+01:00,3324.765,FORCE_EXIT,46.347999999999956,329.25950000000194
2025-06-09,XAUUSD,LONG,2025-06-09 04:30:00+01:00,MARKET,3303.975,2025-06-09 04:30:00+01:00,3303.975,3293.198,3320.985,3307.0915,3293.198,3336.306,2025-06-09 16:00:00+01:00,3322.398,FORCE_EXIT,18.42300000000023,347.68250000000216
2025-06-10,XAUUSD,SHORT,2025-06-10 04:30:00+01:00,LIMIT,3319.8815,2025-06-10 07:10:00+01:00,3319.8815,3301.698,3338.065,3319.8815,3338.065,3265.3309999999997,2025-06-10 12:10:00+01:00,3338.065,STOP,-18.183500000000095,329.49900000000207
2025-06-11,XAUUSD,SHORT,2025-06-11 04:30:00+01:00,MARKET,3339.205,2025-06-11 04:30:00+01:00,3339.205,3302.645,3348.895,3325.77,3348.895,3310.1349999999998,2025-06-11 13:30:00+01:00,3348.895,STOP,-9.690000000000055,319.809000000002
2025-06-12,XAUUSD,LONG,2025-06-12 04:30:00+01:00,LIMIT,3348.4764999999998,2025-06-12 08:40:00+01:00,3348.4764999999998,3319.405,3377.548,3348.4764999999998,3319.405,3435.6909999999984,2025-06-12 16:00:00+01:00,3383.998,FORCE_EXIT,35.52150000000029,355.3305000000023
2025-06-13,XAUUSD,SHORT,2025-06-13 04:30:00+01:00,MARKET,3429.975,2025-06-13 04:30:00+01:00,3429.975,3338.385,3444.125,3391.255,3444.125,3387.5249999999996,2025-06-13 14:25:00+01:00,3444.125,STOP,-14.150000000000091,341.1805000000022
2025-06-17,XAUUSD,LONG,2025-06-17 04:30:00+01:00,MARKET,3385.345,2025-06-17 04:30:00+01:00,3385.345,3373.235,3436.895,3405.065,3373.235,3421.674999999999,2025-06-17 15:35:00+01:00,3373.235,STOP,-12.109999999999673,329.07050000000254
2025-06-18,XAUUSD,SHORT,2025-06-18 04:30:00+01:00,MARKET,3384.655,2025-06-18 04:30:00+01:00,3384.655,3365.835,3399.948,3382.8914999999997,3399.948,3338.776000000001,2025-06-18 16:00:00+01:00,3388.125,FORCE_EXIT,-3.4699999999998,325.60050000000274
2025-06-20,XAUUSD,SHORT,2025-06-20 04:30:00+01:00,LIMIT,3361.633,2025-06-20 14:30:00+01:00,3361.633,3344.375,3378.891,3361.633,3378.891,3309.858999999999,2025-06-20 16:00:00+01:00,3371.105,FORCE_EXIT,-9.472000000000207,316.12850000000253
2025-06-23,XAUUSD,SHORT,2025-06-23 04:30:00+01:00,LIMIT,3374.2065000000002,2025-06-23 12:10:00+01:00,3374.2065000000002,3351.765,3396.648,3374.2065000000002,3396.648,3306.8820000000005,2025-06-23 16:00:00+01:00,3385.655,FORCE_EXIT,-11.448499999999967,304.68000000000256
2025-06-24,XAUUSD,LONG,2025-06-24 04:30:00+01:00,MARKET,3352.625,2025-06-24 04:30:00+01:00,3352.625,3332.865,3393.348,3363.1065,3332.865,3411.9050000000007,2025-06-24 06:40:00+01:00,3332.865,STOP,-19.76000000000022,284.92000000000235
2025-06-25,XAUUSD,LONG,2025-06-25 04:30:00+01:00,LIMIT,3326.3565,2025-06-25 05:30:00+01:00,3326.3565,3295.098,3357.615,3326.3565,3295.098,3420.1319999999996,2025-06-25 16:00:00+01:00,3324.765,FORCE_EXIT,-1.5914999999999964,283.32850000000235
2025-06-26,XAUUSD,LONG,2025-06-26 04:30:00+01:00,LIMIT,3327.3450000000003,2025-06-26 13:50:00+01:00,3327.3450000000003,3311.705,3342.985,3327.3450000000003,3311.705,3374.2650000000012,2025-06-26 14:35:00+01:00,3311.705,STOP,-15.640000000000327,267.688500000002
